;; Unicode Sender
;; Type what you want to send in Unicode and press backtick (`), it will be sent.
;; C1 for characters where case is not relevant. C for characters where case is relevant.
;; ? for characters that are used inside words. No '?' syntax otherwise.
;; 1047 definitions.

;; if we type (atom`), we get (om`). How to deal with this issue?
;; Remove the '?' syntax out for things that should not be a part of a word, such as symbols.
;; Keep the '?' syntax for letters and diacritics

;; LIST
;;====================
;; GREEK LETTERS
;; ARCHAIC GREEK LETTERS
;; BRACKETS
;; COMBINING DIACRITICS (LATIN)
;; COMPUTER-KEYS SYMBOLS
;; CURRENCY SYMBOLS
;; DATE AND TIME
;; EXTRA LETTERS & LIGATURES
;; MATHEMATICAL (GEOMETRICAL)
;; MATHEMATICAL
;; ORTHOGRAPHICAL
;; ORTHOGRAPHICAL (RIGHT-TO-LEFT)
;; ROMAN NUMERALS
;; SPACING
;; ASTRONOMICAL
;; RELIGIOUS & POLITICAL
;; SYMBOLS


;; GREEK LETTERS
;;====================
*C1OZ‖CJKbrackets`‖SI‖En‖「」{left 1}‖corner bracket (open-close)
*C1OZ‖doublecornerbrackets`‖SI‖En‖『』{left 1}‖white corner bracket (open-close)
*C1OZ‖doubleCJKbrackets`‖SI‖En‖『』{left 1}‖white corner bracket (open-close)
*C1OZ‖thickCJKbrackets`‖SI‖En‖『』{left 1}‖white corner bracket (open-close)
*C1OZ‖thickcornerbrackets`‖SI‖En‖『』{left 1}‖white corner bracket (open-close)
*C1OZ‖tortoisebrackets`‖SI‖En‖〔〕{left 1}‖tortoise bracket (open-close)
*C1OZ‖doubletortoisebrackets`‖SI‖En‖〘〙{left 1}‖white tortoise bracket (open-close)
*C1OZ‖thicktortoisebrackets`‖SI‖En‖〘〙{left 1}‖white tortoise bracket (open-close)


;; COMBINING DIACRITICS (LATIN)
;;====================
*C1?OZ‖grave`‖SI‖En‖{U+0300}‖combining grave accent
*C1?OZ‖graveaccent`‖SI‖En‖{U+0300}‖combining grave accent
*C1?OZ‖doublegrave`‖SI‖En‖{U+030F}‖combining double grave accent
*C1?OZ‖doublegraveaccent`‖SI‖En‖{U+030F}‖combining double grave accent

*C1?OZ‖acute`‖SI‖En‖{U+0301}‖combining acute accent
*C1?OZ‖acuteaccent`‖SI‖En‖{U+0301}‖combining acute accent
